Time Step - No.;Time Step - Repetitions;Newton Iterations;Cumulative Time - DAYS;Date;Cumulative Production Oil MSTB;Cumulative Production Gas MMSCF;Cumulative Production Water MSTB;Cumulative Injection Gas MMSCF;Cumulative Injection Water MSTB;Production Rate Oil STB/D;Production Rate Gas MSCF/D;Production Rate Water STB/D;Injection Rate Gas MSCF/D;Injection Rate Water STB/D;Gaslift Rate - MSCF/D;Cumulative Gaslift - MMSCF;Gas Oil Ratio MSCF/STB;Water Oil Ratio STB/STB;Water Cut - STB/STB;Recovery OOIP - %;Ave.Wt. Pressure Tot-PV PSIA;Ave.Wt. Pressure HCPV+ PSIA;CPU TIME - Seconds;Elapsed TIME - Seconds
34;0;1;670;Sun Nov 01 00:00:00 GST 1992;0;0;2549.219;0;0;0;0;3555.85;0;0;0;0;0;0;1;0;4773.48;4692.66;199.2;201.3
35;0;1;700;Tue Dec 01 00:00:00 GST 1992;0;0;2655.498;0;0;0;0;3542.63;0;0;0;0;0;0;1;0;4773.12;4692.57;203.5;205.7
36;0;1;731;Fri Jan 01 00:00:00 GST 1993;0;0;2764.908;0;0;0;0;3529.37;0;0;0;0;0;0;1;0;4772.75;4692.47;207.9;210.1
37;0;1;762;Mon Feb 01 00:00:00 GST 1993;0;0;2873.92;0;0;0;0;3516.51;0;0;0;0;0;0;1;0;4772.38;4692.37;212.2;214.4
38;0;1;790;Mon Mar 01 00:00:00 GST 1993;0;0;2972.065;0;0;0;0;3505.17;0;0;0;0;0;0;1;0;4772.04;4692.28;218.2;220.5
39;0;1;821;Thu Apr 01 00:00:00 GST 1993;0;0;3080.347;0;0;0;0;3492.96;0;0;0;0;0;0;1;0;4771.68;4692.18;222.6;224.9
40;0;1;851;Sat May 01 00:00:00 GST 1993;0;0;3184.79;0;0;0;0;3481.44;0;0;0;0;0;0;1;0;4771.32;4692.08;226.9;229.2
41;0;1;882;Tue Jun 01 00:00:00 GST 1993;0;0;3292.355;0;0;0;0;3469.84;0;0;0;0;0;0;1;0;4770.96;4691.97;231.2;233.5
42;0;1;912;Thu Jul 01 00:00:00 GST 1993;0;0;3396.121;0;0;0;0;3458.89;0;0;0;0;0;0;1;0;4770.61;4691.87;235.5;237.8
43;0;1;943;Sun Aug 01 00:00:00 GST 1993;0;0;3503.004;0;0;0;0;3447.83;0;0;0;0;0;0;1;0;4770.25;4691.76;239.8;242.1
44;0;1;974;Wed Sep 01 00:00:00 GST 1993;0;0;3609.553;0;0;0;0;3437.05;0;0;0;0;0;0;1;0;4769.89;4691.65;244.1;246.4
45;0;1;1004;Fri Oct 01 00:00:00 GST 1993;0;0;3712.358;0;0;0;0;3426.83;0;0;0;0;0;0;1;0;4769.55;4691.54;248.4;250.7
46;0;1;1035;Mon Nov 01 00:00:00 GST 1993;0;0;3818.27;0;0;0;0;3416.53;0;0;0;0;0;0;1;0;4769.2;4691.42;252.9;255.2
47;0;1;1065;Wed Dec 01 00:00:00 GST 1993;0;0;3920.473;0;0;0;0;3406.77;0;0;0;0;0;0;1;0;4768.85;4691.31;257.2;259.5
48;0;1;1096;Sat Jan 01 00:00:00 GST 1994;0;0;4025.777;0;0;0;0;3396.91;0;0;0;0;0;0;1;0;4768.5;4691.19;263.2;265.5
49;0;1;1127;Tue Feb 01 00:00:00 GST 1994;0;0;4130.782;0;0;0;0;3387.25;0;0;0;0;0;0;1;0;4768.15;4691.07;267.5;269.8
50;0;1;1155;Tue Mar 01 00:00:00 GST 1994;0;0;4225.386;0;0;0;0;3378.7;0;0;0;0;0;0;1;0;4767.84;4690.96;271.8;274.1
51;0;1;1186;Fri Apr 01 00:00:00 GST 1994;0;0;4329.838;0;0;0;0;3369.42;0;0;0;0;0;0;1;0;4767.49;4690.83;276.1;278.4
52;0;1;1216;Sun May 01 00:00:00 GST 1994;0;0;4430.657;0;0;0;0;3360.63;0;0;0;0;0;0;1;0;4767.15;4690.71;280.4;282.7
53;0;1;1247;Wed Jun 01 00:00:00 GST 1994;0;0;4534.56;0;0;0;0;3351.72;0;0;0;0;0;0;1;0;4766.81;4690.58;284.9;287.2
54;0;1;1277;Fri Jul 01 00:00:00 GST 1994;0;0;4634.858;0;0;0;0;3343.26;0;0;0;0;0;0;1;0;4766.48;4690.46;289.2;291.5
55;0;1;1308;Mon Aug 01 00:00:00 GST 1994;0;0;4738.233;0;0;0;0;3334.69;0;0;0;0;0;0;1;0;4766.14;4690.33;293.5;295.9
56;0;1;1339;Thu Sep 01 00:00:00 GST 1994;0;0;4841.348;0;0;0;0;3326.28;0;0;0;0;0;0;1;0;4765.8;4690.19;297.9;300.2
57;0;1;1369;Sat Oct 01 00:00:00 GST 1994;0;0;4940.897;0;0;0;0;3318.3;0;0;0;0;0;0;1;0;4765.47;4690.06;302.1;304.5
58;0;1;1400;Tue Nov 01 00:00:00 GST 1994;0;0;5043.513;0;0;0;0;3310.21;0;0;0;0;0;0;1;0;4765.13;4689.93;308.1;310.5
59;0;1;1430;Thu Dec 01 00:00:00 GST 1994;0;0;5142.589;0;0;0;0;3302.52;0;0;0;0;0;0;1;0;4764.8;4689.79;312.4;314.8
60;0;1;1461;Sun Jan 01 00:00:00 GST 1995;0;0;5244.725;0;0;0;0;3294.72;0;0;0;0;0;0;1;0;4764.47;4689.66;316.9;319.2
61;0;2;1492;Wed Feb 01 00:00:00 GST 1995;0;0;5331.123;0;0;0;0;2787.04;0;0;0;0;0;0;1;0;4764.19;4689.52;325.6;327.9
62;0;1;1520;Wed Mar 01 00:00:00 GST 1995;0;0;5408.97;0;0;0;0;2780.22;0;0;0;0;0;0;1;0;4763.94;4689.39;330.1;332.5
63;0;1;1551;Sat Apr 01 00:00:00 GST 1995;0;0;5494.926;0;0;0;0;2772.8;0;0;0;0;0;0;1;0;4763.66;4689.24;334.7;337.1
64;0;1;1581;Mon May 01 00:00:00 GST 1995;0;0;5577.9;0;0;0;0;2765.77;0;0;0;0;0;0;1;0;4763.4;4689.11;339;341.4
65;0;1;1612;Thu Jun 01 00:00:00 GST 1995;0;0;5663.417;0;0;0;0;2758.63;0;0;0;0;0;0;1;0;4763.12;4688.96;343.4;345.8
66;0;1;1642;Sat Jul 01 00:00:00 GST 1995;0;0;5745.972;0;0;0;0;2751.84;0;0;0;0;0;0;1;0;4762.86;4688.82;347.7;350.1
67;0;1;1673;Tue Aug 01 00:00:00 GST 1995;0;0;5831.066;0;0;0;0;2744.96;0;0;0;0;0;0;1;0;4762.58;4688.67;353.7;356.1
68;0;1;1704;Fri Sep 01 00:00:00 GST 1995;0;0;5915.95;0;0;0;0;2738.2;0;0;0;0;0;0;1;0;4762.31;4688.52;358;360.4
69;0;1;1734;Sun Oct 01 00:00:00 GST 1995;0;0;5997.904;0;0;0;0;2731.79;0;0;0;0;0;0;1;0;4762.05;4688.37;362.3;364.7
